pha_name,pha_participant_code,pha_geography,pha_county_fips_code,pha_place_fips_code,pha_state_fips_code,year,pha_total_occupied_units,pha_filings,pha_households_threatened,pha_filing_rate,pha_hhlds_threatened_rate
ABBEVILLE,AL101,City,,0100124,01,2007,40,0,0,0,0
DEMOPOLIS,AL109,City,,0120296,01,2007,165.60001,3,3,1.8099999,1.8099999
BAY MINETTE,AL164,City,,0104660,01,2007,93.959999,0,0,0,0
CHICKASAW,AL166,City,,0114392,01,2007,244.8,6,6,2.45,2.45
AUBURN,AL050,City,,0103076,01,2007,265.20001,6,6,2.26,2.26
ANNISTON,AL004,City,,0101852,01,2007,681.59003,28,28,4.1100001,4.1100001
NEWTON,AL142,City,,0154480,01,2007,24.09,0,0,0,0
ATMORE,AL154,City,,0103004,01,2007,63.919998,0,0,0,0
BRIDGEPORT,AL147,City,,0109328,01,2007,61.740002,0,0,0,0
ALTOONA,AL102,City,,0101660,01,2007,94.089996,4,4,4.25,4.25
SLOCOMB,AL143,City,,0171040,01,2007,13.02,0,0,0,0
ASHFORD,AL144,City,,0102836,01,2007,62.32,0,0,0,0
DECATUR,AL048,City,,0120104,01,2007,575.70001,41,41,7.1199999,7.1199999
VERNON,AL084,City,,0178480,01,2007,130.5,0,0,0,0
DOTHAN,AL007,City,,0121184,01,2007,610.73999,3,3,.49000001,.49000001
BERRY,AL078,City,,0105932,01,2007,58.799999,0,0,0,0
GADSDEN,AL049,City,,0128696,01,2007,871.73999,129,119,14.8,13.65
FORT DEPOSIT,AL193,City,,0127520,01,2007,45,1,1,2.22,2.22
RAINSVILLE,AL168,City,,0163336,01,2007,97.019997,0,0,0,0
OPP,AL112,City,,0157120,01,2007,149.60001,4,4,2.6700001,2.6700001
HUNTSVILLE,AL047,City,,0137000,01,2007,1735.33,205,194,11.81,11.18
EUFAULA,AL118,City,,0124568,01,2007,369.45999,1,1,.27000001,.27000001
MOBILE,AL002,City,,0150000,01,2007,2599.6799,98,93,3.77,3.5799999
OPELIKA,AL061,City,,0157048,01,2007,621.77002,100,88,16.08,14.15
CENTRE,AL140,City,,0113648,01,2007,158.39999,8,8,5.0500002,5.0500002
UNIONTOWN,AL171,City,,0177904,01,2007,97.019997,2,2,2.0599999,2.0599999
UNION SPRINGS,AL070,City,,0177880,01,2007,145.5,7,7,4.8099999,4.8099999
BRUNDIDGE,AL126,City,,0110240,01,2007,40.18,0,0,0,0
NEW BROCKTON,AL149,City,,0153856,01,2007,39.200001,0,0,0,0
LINEVILLE,AL114,City,,0143264,01,2007,191,0,0,0,0
SELMA,AL008,City,,0169120,01,2007,560.64001,5,5,.88999999,.88999999
ATHENS,AL067,City,,0102956,01,2007,235.2,3,3,1.28,1.28
PHIL CAMPBELL,AL090,City,,0159496,01,2007,60.759998,0,0,0,0
GOODWATER,AL132,City,,0130640,01,2007,36,0,0,0,0
HEADLAND,AL123,City,,0133856,01,2007,49,0,0,0,0
TUSCUMBIA,AL059,City,,0177280,01,2007,222.64,1,1,.44999999,.44999999
CULLMAN,AL052,City & County,01043,0118976,01,2007,306.44,8,8,2.6099999,2.6099999
GUIN,AL071,City,,0132224,01,2007,181.17,5,5,2.76,2.76
ELBA,AL107,City,,0123296,01,2007,122.5,2,2,1.63,1.63
TUSKEGEE,AL160,City,,0177304,01,2007,305.60001,11,11,3.5999999,3.5999999
HALEYVILLE,AL056,City,,0132704,01,2007,258.5,1,1,.38999999,.38999999
FAYETTE,AL137,City & County,01057,0125840,01,2007,136,2,2,1.47,1.47
HARTFORD,AL103,City,,0133424,01,2007,31.959999,1,1,3.1300001,3.1300001
BOAZ,AL075,City,,0107912,01,2007,441.98001,12,12,2.72,2.72
CHILDERSBURG,AL122,City,,0114464,01,2007,184.3,2,2,1.09,1.09
GREENVILLE,AL155,City,,0131912,01,2007,182,2,2,1.1,1.1
HEFLIN,AL096,City,,0133976,01,2007,34,0,0,0,0
HANCEVILLE,AL093,City,,0132968,01,2007,49.98,3,3,6,6
COTTONWOOD,AL104,City,,0117824,01,2007,45.099998,0,0,0,0
MILLPORT,AL095,City,,0148808,01,2007,44,0,0,0,0
COLLINSVILLE,AL083,City,,0116600,01,2007,52.200001,0,0,0,0
GREENE COUNTY,AL190,County,01063,,01,2007,164.64,2,2,1.21,1.21
WINFIELD,AL058,City,,0182992,01,2007,111.55,4,4,3.5899999,3.5899999
GORDO,AL138,City,,0130736,01,2007,79.199997,0,0,0,0
TALLADEGA,AL105,City & County,01121,0174592,01,2007,494.01001,2,2,.40000001,.40000001
HARTSELLE,AL087,City,,0133448,01,2007,174.84,0,0,0,0
ALICEVILLE,AL098,City,,0101228,01,2007,169.53999,1,1,.58999997,.58999997
YORK,AL116,City,,0184096,01,2007,57.599998,0,0,0,0
ENTERPRISE,AL115,City,,0124184,01,2007,142.5,3,3,2.1099999,2.1099999
HACKLEBURG,AL076,City,,0132560,01,2007,53.939999,1,1,1.85,1.85
ALBERTVILLE,AL121,City,,0100988,01,2007,162.36,0,0,0,0
MOBILE COUNTY,AL202,County,01097,,01,2007,45,0,0,0,0
SAMSON,AL128,City,,0167800,01,2007,202.35001,6,6,2.97,2.97
RED BAY,AL051,City,,0163576,01,2007,159.08,0,0,0,0
SCOTTSBORO,AL099,City,,0168736,01,2007,316,1,1,.31999999,.31999999
DALEVILLE,AL179,City,,0119360,01,2007,69.300003,3,3,4.3299999,4.3299999
FLORENCE,AL054,City,,0126896,01,2007,631.46997,10,10,1.58,1.58
FLORALA,AL111,City,,0126848,01,2007,39.959999,3,3,7.5100002,7.5100002
LUVERNE,AL088,City,,0144728,01,2007,139.59,0,0,0,0
OZARK,AL073,City,,0157648,01,2007,393.95999,11,11,2.79,2.79
EUTAW,AL146,City,,0124664,01,2007,49,1,1,2.04,2.04
DADEVILLE,AL178,City,,0119336,01,2008,65.860001,0,0,0,0
MOBILE COUNTY,AL202,County,01097,,01,2008,49,0,0,0,0
FORT PAYNE,AL011,City,,0127616,01,2008,271.39999,9,9,3.3199999,3.3199999
HEADLAND,AL123,City,,0133856,01,2008,49,0,0,0,0
TUSCUMBIA,AL059,City,,0177280,01,2008,224.13,1,1,.44999999,.44999999
UNION SPRINGS,AL070,City,,0177880,01,2008,138,7,7,5.0700002,5.0700002
STEVENSON,AL167,City,,0173080,01,2008,78.300003,0,0,0,0
NEW BROCKTON,AL149,City,,0153856,01,2008,40,0,0,0,0
CARBON HILL,AL064,City,,0112016,01,2008,104.5,0,0,0,0
CHILDERSBURG,AL122,City,,0114464,01,2008,186.2,10,10,5.3699999,5.3699999
JASPER,AL012,City,,0138416,01,2008,235.06,14,14,5.96,5.96
ENTERPRISE,AL115,City,,0124184,01,2008,145.5,0,0,0,0
MOBILE,AL002,City,,0150000,01,2008,2510.2,136,117,5.4200001,4.6599998
YORK,AL116,City,,0184096,01,2008,70.199997,0,0,0,0
UNIONTOWN,AL171,City,,0177904,01,2008,94.050003,7,7,7.4400001,7.4400001
BRENT,AL151,City,,0109136,01,2008,67.900002,1,1,1.47,1.47
PIEDMONT,AL110,City,,0159640,01,2008,183.92,7,6,3.8099999,3.26
LINDEN,AL120,City,,0143240,01,2008,40,0,0,0,0
SAMSON,AL128,City,,0167800,01,2008,195.96001,10,8,5.0999999,4.0799999
NEWTON,AL142,City,,0154480,01,2008,25.08,4,4,15.95,15.95
CULLMAN,AL052,City & County,01043,0118976,01,2008,316.22,12,12,3.79,3.79
HUNTSVILLE,AL047,City,,0137000,01,2008,1637.76,232,209,14.17,12.76
PRATTVILLE,AL131,City,,0162328,01,2008,101.76,4,4,3.9300001,3.9300001
JACKSONVILLE,AL139,City,,0138272,01,2008,175,0,0,0,0
MILLPORT,AL095,City,,0148808,01,2008,44,0,0,0,0
MIDLAND CITY,AL124,City,,0148400,01,2008,41.860001,0,0,0,0
CHICKASAW,AL166,City,,0114392,01,2008,253.44,7,7,2.76,2.76
ABBEVILLE,AL101,City,,0100124,01,2008,39.200001,0,0,0,0
HOBSON CITY,AL133,City,,0135152,01,2008,54,0,0,0,0
LUVERNE,AL088,City,,0144728,01,2008,138.17999,0,0,0,0
GREENSBORO,AL157,City,,0131720,01,2008,64.68,3,3,4.6399999,4.6399999
RAGLAND,AL108,City,,0163216,01,2008,46.200001,0,0,0,0
LINEVILLE,AL114,City,,0143264,01,2008,191,0,0,0,0
PHIL CAMPBELL,AL090,City,,0159496,01,2008,58.900002,0,0,0,0
ROANOKE,AL065,City,,0165040,01,2008,46,0,0,0,0
SYLACAUGA,AL057,City,,0174352,01,2008,619.73999,32,32,5.1599998,5.1599998
TUSKEGEE,AL160,City,,0177304,01,2008,318.37,7,7,2.2,2.2
ONEONTA,AL063,City,,0157000,01,2008,159.8,0,0,0,0
ATHENS,AL067,City,,0102956,01,2008,216,26,26,12.04,12.04
ASHFORD,AL144,City,,0102836,01,2008,72.959999,2,2,2.74,2.74
PRICHARD,AL169,City,,0162496,01,2008,291,7,7,2.4100001,2.4100001
OPELIKA,AL061,City,,0157048,01,2008,570.48999,70,61,12.27,10.69
CENTRE,AL140,City,,0113648,01,2008,160,7,7,4.3800001,4.3800001
ALBERTVILLE,AL121,City,,0100988,01,2008,147.60001,0,0,0,0
ATMORE,AL154,City,,0103004,01,2008,65.279999,0,0,0,0
DECATUR,AL048,City,,0120104,01,2008,593.88,53,53,8.9200001,8.9200001
MONTGOMERY,AL006,City & County,01101,0151000,01,2008,1516.4,123,115,8.1099997,7.5799999
SCOTTSBORO,AL099,City,,0168736,01,2008,306.51999,3,3,.98000002,.98000002
BREWTON,AL156,City,,0109208,01,2008,60.799999,3,3,4.9299998,4.9299998
GUNTERSVILLE,AL014,City,,0132416,01,2008,329,16,16,4.8600001,4.8600001
TRIANA,AL182,City,,0176824,01,2008,18.959999,5,5,26.370001,26.370001
LAFAYETTE,AL159,City,,0140672,01,2008,102,2,2,1.96,1.96
CORDOVA,AL055,City,,0117368,01,2008,55.799999,0,0,0,0
WALKER COUNTY,AL129,County,01127,,01,2008,88.349998,2,2,2.26,2.26
ALTOONA,AL102,City,,0101660,01,2008,95.059998,6,6,6.3099999,6.3099999
ALEXANDER CITY,AL174,City,,0101132,01,2008,472.23001,44,42,9.3199997,8.8900003
RUSSELLVILLE,AL060,City,,0167056,01,2008,194.37,9,8,4.6300001,4.1199999
BRANTLEY,AL145,City,,0109016,01,2008,97,0,0,0,0
HARTFORD,AL103,City,,0133424,01,2008,28.9,0,0,0,0
GOODWATER,AL132,City,,0130640,01,2008,35.200001,0,0,0,0
HEFLIN,AL096,City,,0133976,01,2008,34,0,0,0,0
RED BAY,AL051,City,,0163576,01,2008,157.44,5,5,3.1800001,3.1800001
ASHLAND,AL136,City,,0102860,01,2008,183.08,0,0,0,0
DOTHAN,AL007,City,,0121184,01,2008,582.90002,6,6,1.03,1.03
ELBA,AL107,City,,0123296,01,2008,122.5,8,7,6.5300002,5.71
PHENIX CITY,AL005,City,,0159472,01,2008,842.40002,25,23,2.97,2.73
BEAR CREEK,AL081,City,,0104852,01,2008,24,0,0,0,0
SULLIGENT,AL119,City,,0173728,01,2008,120.54,0,0,0,0
FLORALA,AL111,City,,0126848,01,2008,39.060001,2,2,5.1199999,5.1199999
ARAB,AL091,City,,0102116,01,2008,102.9,0,0,0,0
MARION,AL161,City,,0146768,01,2008,57,3,3,5.2600002,5.2600002
BERRY,AL078,City,,0105932,01,2008,54,0,0,0,0
GREENVILLE,AL155,City,,0131912,01,2008,190,1,1,.52999997,.52999997
LIVINGSTON,AL175,City,,0143720,01,2008,89.099998,1,1,1.12,1.12
ANDALUSIA,AL127,City,,0101708,01,2008,117.6,1,1,.85000002,.85000002
SHEFFIELD,AL068,City,,0169648,01,2008,383.16,2,2,.51999998,.51999998
HANCEVILLE,AL093,City,,0132968,01,2008,46.919998,0,0,0,0
GORDO,AL138,City,,0130736,01,2008,79.199997,1,1,1.26,1.26
FLORENCE,AL054,City,,0126896,01,2008,631.46997,31,30,4.9099998,4.75
TROY,AL177,City,,0176920,01,2008,413.56,17,16,4.1100001,3.8699999
COTTONWOOD,AL104,City,,0117824,01,2008,50.880001,0,0,0,0
BLOUNTSVILLE,AL134,City,,0107456,01,2008,88,0,0,0,0
BRUNDIDGE,AL126,City,,0110240,01,2008,41,0,0,0,0
TALLASSEE,AL172,City,,0174688,01,2008,81,2,2,2.47,2.47
DALEVILLE,AL179,City,,0119360,01,2008,65.099998,3,3,4.6100001,4.6100001
AUBURN,AL050,City,,0103076,01,2008,251.16,4,4,1.59,1.59
GADSDEN,AL049,City,,0128696,01,2008,881.76001,220,185,24.950001,20.98
TALLADEGA,AL105,City & County,01121,0174592,01,2008,499,2,2,.40000001,.40000001
GEORGIANA,AL094,City,,0129560,01,2008,89,3,3,3.3699999,3.3699999
SUMITON,AL176,City,,0173848,01,2008,34.849998,0,0,0,0
BOAZ,AL075,City,,0107912,01,2008,401.39001,15,15,3.74,3.74
BAY MINETTE,AL164,City,,0104660,01,2008,90.720001,0,0,0,0
FORT DEPOSIT,AL193,City,,0127520,01,2008,38,3,3,7.8899999,7.8899999
EUTAW,AL146,City,,0124664,01,2008,47,1,1,2.1300001,2.1300001
SELMA,AL008,City,,0169120,01,2008,538.62,42,41,7.8000002,7.6100001
CLANTON,AL150,City,,0115136,01,2008,165.53999,1,1,.60000002,.60000002
VERNON,AL084,City,,0178480,01,2008,133.39999,0,0,0,0
OZARK,AL073,City,,0157648,01,2008,379.04999,8,8,2.1099999,2.1099999
BRIDGEPORT,AL147,City,,0109328,01,2008,59.220001,0,0,0,0
HACKLEBURG,AL076,City,,0132560,01,2008,52.080002,2,2,3.8399999,3.8399999
HARTSELLE,AL087,City,,0133448,01,2008,172.98,0,0,0,0
GUIN,AL071,City,,0132224,01,2008,179.34,2,2,1.12,1.12
VALLEY,AL199,City,,0178204,01,2008,47,0,0,0,0
FAYETTE,AL137,City & County,01057,0125840,01,2008,139.5,2,2,1.4299999,1.4299999
SLOCOMB,AL143,City,,0171040,01,2008,12.04,0,0,0,0
RAINSVILLE,AL168,City,,0163336,01,2008,98,0,0,0,0
WINFIELD,AL058,City,,0182992,01,2008,126.72,0,0,0,0
LANETT,AL062,City,,0141296,01,2008,280.28,17,17,6.0700002,6.0700002
HAMILTON,AL053,City,,0132848,01,2008,438.29999,7,7,1.6,1.6
REFORM,AL066,City,,0164104,01,2008,54,0,0,0,0
ALICEVILLE,AL098,City,,0101228,01,2008,169.53999,5,5,2.95,2.95
EVERGREEN,AL181,City,,0124808,01,2008,83.699997,4,4,4.7800002,4.7800002
HALEYVILLE,AL056,City,,0132704,01,2008,236.5,7,7,2.96,2.96
ATTALLA,AL009,City,,0103028,01,2008,104.5,0,0,0,0
EUFAULA,AL118,City,,0124568,01,2008,354.38,0,0,0,0
ANNISTON,AL004,City,,0101852,01,2008,680.67999,39,39,5.73,5.73
OPP,AL112,City,,0157120,01,2008,154.7,5,5,3.23,3.23
CLAYTON,AL158,City,,0115376,01,2008,38.950001,1,1,2.5699999,2.5699999
CROSSVILLE,AL082,City,,0118856,01,2008,30,1,1,3.3299999,3.3299999
GREENE COUNTY,AL190,County,01063,,01,2008,150.39999,12,12,7.98,7.98
PARRISH,AL153,City,,0158272,01,2008,14.94,0,0,0,0
PELL CITY,AL106,City,,0158896,01,2008,74.879997,3,3,4.0100002,4.0100002
FOLEY,AL165,City,,0126992,01,2008,75.68,6,4,7.9299998,5.29
DEMOPOLIS,AL109,City,,0120296,01,2008,169.2,1,1,.58999997,.58999997
COLLINSVILLE,AL083,City,,0116600,01,2008,58.799999,0,0,0,0
PRICHARD,AL169,City,,0162496,01,2009,290.70001,18,18,6.1900001,6.1900001
EUTAW,AL146,City,,0124664,01,2009,46,3,3,6.52,6.52
GUNTERSVILLE,AL014,City,,0132416,01,2009,325.5,13,13,3.99,3.99
PHENIX CITY,AL005,City,,0159472,01,2009,885.47998,19,18,2.1500001,2.03
CHICKASAW,AL166,City,,0114392,01,2009,218.88,12,12,5.48,5.48
SCOTTSBORO,AL099,City,,0168736,01,2009,312.84,1,1,.31999999,.31999999
CULLMAN,AL052,City & County,01043,0118976,01,2009,306.44,4,4,1.3099999,1.3099999
KENNEDY,AL141,City,,0139520,01,2009,14,0,0,0,0
HEFLIN,AL096,City,,0133976,01,2009,34,1,1,2.9400001,2.9400001
MARION,AL161,City,,0146768,01,2009,54.150002,0,0,0,0
WINFIELD,AL058,City,,0182992,01,2009,129.36,0,0,0,0
LIVINGSTON,AL175,City,,0143720,01,2009,84.699997,0,0,0,0
BEAR CREEK,AL081,City,,0104852,01,2009,24,0,0,0,0
BRIDGEPORT,AL147,City,,0109328,01,2009,56.700001,0,0,0,0
VERNON,AL084,City,,0178480,01,2009,133.39999,1,1,.75,.75
PHIL CAMPBELL,AL090,City,,0159496,01,2009,58.900002,0,0,0,0
LANETT,AL062,City,,0141296,01,2009,313.04001,12,12,3.8299999,3.8299999
HACKLEBURG,AL076,City,,0132560,01,2009,55.18,1,1,1.8099999,1.8099999
BERRY,AL078,City,,0105932,01,2009,54,0,0,0,0
DOTHAN,AL007,City,,0121184,01,2009,576.20001,0,0,0,0
CARBON HILL,AL064,City,,0112016,01,2009,105.6,0,0,0,0
TALLADEGA,AL105,City & County,01121,0174592,01,2009,479.04001,0,0,0,0
PELL CITY,AL106,City,,0158896,01,2009,67.860001,4,4,5.8899999,5.8899999
CHILDERSBURG,AL122,City,,0114464,01,2009,184.3,8,8,4.3400002,4.3400002
BRANTLEY,AL145,City,,0109016,01,2009,95,0,0,0,0
BRENT,AL151,City,,0109136,01,2009,69.300003,1,1,1.4400001,1.4400001
MOULTON,AL080,City,,0151600,01,2009,55.099998,1,1,1.8099999,1.8099999
JASPER,AL012,City,,0138416,01,2009,251.16,4,4,1.59,1.59
GREENSBORO,AL157,City,,0131720,01,2009,62.040001,1,1,1.61,1.61
HARTSELLE,AL087,City,,0133448,01,2009,178.56,0,0,0,0
BAY MINETTE,AL164,City,,0104660,01,2009,88.559998,0,0,0,0
OPELIKA,AL061,City,,0157048,01,2009,570.48999,46,41,8.0600004,7.1900001
FORT DEPOSIT,AL193,City,,0127520,01,2009,43,1,1,2.3299999,2.3299999
ASHLAND,AL136,City,,0102860,01,2009,187.06,0,0,0,0
